zmax I2n100 I3n100 I2n200 I3n200 I2n500 I3n500 I2n4500 I3n4500 I2n50 I3n50
0.025 0.00141932 2.03837 0.00199643 2.86719 0.00201328 2.89138 0.00202485 2.908 0.000334451 0.480324
0.05  0.00569972 2.72856 0.00620927 2.97249 0.0062955 3.01377 0.0060789 2.91009 0.00436145 2.08791
0.075 0.0112915 3.24328 0.010502 3.01651 0.010241 2.94154 0.0101639 2.91938 0.0119959 3.4456
0.1   0.0130353 2.67439 0.0139137 2.85462 0.0145741 2.9901 0.0142836 2.9305 0.0166384 3.41361
0.125 0.021087 3.36492 0.0190284 3.03642 0.0188698 3.01111 0.0184684 2.94705 0.0132889 2.12055
0.15  0.0211462 2.76084 0.0226384 2.95566 0.0228931 2.98892 0.0227191 2.9662 0.021665 2.82857
0.175 0.0288055 3.18225 0.0268686 2.96827 0.0275411 3.04256 0.0270503 2.98835 0.0269954 2.98228
0.2   0.0339617 3.25162 0.0325051 3.11216 0.0320252 3.06621 0.0314635 3.01243 0.0360245 3.44912
0.225 0.0348549 2.94453 0.0354916 2.99833 0.0363327 3.06938 0.035933 3.03562 0.0374904 3.16718
0.25  0.0420889 3.18138 0.0412373 3.11701 0.0410179 3.10043 0.0404774 3.05957 0.0342217 2.58672
0.275 0.0453114 3.09877 0.0459287 3.14099 0.0457844 3.13112 0.0450415 3.08032 0.042948 2.93714
0.3   0.0539625 3.3695 0.049706 3.10372 0.0504501 3.15019 0.049605 3.09741 0.0488253 3.04873
0.325 0.0565521 3.24871 0.0555892 3.19339 0.0550751 3.16386 0.0540981 3.10774 0.0534223 3.06891
0.35  0.0608963 3.23913 0.0592015 3.14899 0.0591831 3.14801 0.0584743 3.11031 0.0535398 2.84784
0.375 0.0636296 3.15111 0.0635348 3.14641 0.0633462 3.13707 0.0626195 3.10109 0.0569105 2.81836
0.4   0.0680421 3.15223 0.0679615 3.1485 0.06786 3.14379 0.0664327 3.07767 0.0719105 3.33144
0.425 0.0728486 3.17037 0.069504 3.02481 0.070682 3.07607 0.0697915 3.03732 0.0716731 3.11921
0.45  0.0744856 3.05637 0.0740592 3.03887 0.0734186 3.01259 0.0725304 2.97614 0.067279 2.76066
0.475 0.075648 2.93628 0.0752729 2.92172 0.0756716 2.9372 0.0745252 2.8927 0.0700793 2.72013
0.5   0.0773518 2.84844 0.0754926 2.77998 0.0767416 2.82597 0.0755842 2.78335 0.0732118 2.69599
0.525 0.0783445 2.74427 0.0766185 2.68381 0.0766683 2.68555 0.0756014 2.64818 0.0785285 2.75071
0.55  0.0719932 2.4045 0.0757388 2.5296 0.0751417 2.50966 0.074366 2.48375 0.0726927 2.42786
0.575 0.0729438 2.32797 0.073033 2.33082 0.0728465 2.32487 0.0719069 2.29488 0.0686199 2.18998
0.6   0.0712855 2.17824 0.0684651 2.09205 0.0690615 2.11028 0.0681113 2.08125 0.0691423 2.11275
0.625 0.0665345 1.95008 0.0640864 1.87833 0.0644968 1.89036 0.0638656 1.87186 0.0638421 1.87117
0.65  0.0608387 1.71321 0.0590874 1.6639 0.0593105 1.67018 0.0588333 1.65674 0.0537784 1.5144
0.675 0.0536643 1.45416 0.053623 1.45304 0.053175 1.4409 0.0528247 1.43141 0.049664 1.34576
0.7   0.0468424 1.22315 0.0465629 1.21585 0.0462659 1.20809 0.0460528 1.20253 0.0449118 1.17273
0.725 0.0380266 0.958108 0.0389492 0.981354 0.0381883 0.962182 0.038038 0.958394 0.036212 0.912387
0.75  0.0280851 0.683637 0.0280272 0.682229 0.0277162 0.674658 0.0276716 0.673572 0.0248702 0.605381
0.775 0.0197477 0.464932 0.0189546 0.446259 0.0189562 0.446295 0.0188994 0.444958 0.0172485 0.406091
0.8   0.0117218 0.267211 0.0115081 0.262339 0.0114615 0.261277 0.0114175 0.260276 0.0106629 0.243072
0.825 0.00515045 0.113798 0.00513064 0.11336 0.00508993 0.112461 0.0050629 0.111863 0.00467379 0.103266
0.85  0.001974 0.042313 0.00195176 0.0418364 0.00194449 0.0416805 0.0019388 0.0415585 0.00178541 0.0382705
0.875 0.000696461 0.014496 0.000689944 0.0143604 0.000686954 0.0142982 0.000684859 0.0142546 0.000631067 0.0131349
0.9   0.000206295 0.00417283 0.000204253 0.00413154 0.000203406 0.00411441 0.000202858 0.00410332 0.000187756 0.00379785
0.925 0.00018638 0.00366673 0.000184267 0.00362515 0.00018329 0.00360594 0.000182708 0.00359447 0.000169783 0.0033402
0.95  0.000200987 0.00384865 0.000198773 0.00380626 0.000197824 0.00378808 0.000197155 0.00377528 0.000183628 0.00351626
0.975 0.00029169 0.00544041 0.000288824 0.00538697 0.00028739 0.00536022 0.000286345 0.00534072 0.000267196 0.00498357
1     0.000494664 0.0089926 0.000490328 0.00891377 0.00048792 0.00886999 0.000486155 0.00883791 0.00045548 0.00828026
