zmax  I2T10m4r95 I3T10m4r95 I2T8m4r95 I3T8m4r95 I2T9m4r95 I3T9m4r95 I2T11m4r95 I3T11m4r95 I2T12m4r95 I3T12m4r95
0.025 0.0019488 2.79878 0.000546652 0.785079 0.00116962 1.67975 0.00209874 3.01412 0.00138021 1.9822
0.05  0.00585055 2.80077 0.0016458 0.787876 0.00351798 1.68412 0.00631031 3.02086 0.00416878 1.99567
0.075 0.00978169 2.80961 0.00274013 0.787052 0.00586482 1.68456 0.0106134 3.04849 0.0070746 2.03205
0.1   0.013746 2.82021 0.00383556 0.786923 0.00821816 1.68608 0.0150238 3.08235 0.0101432 2.08104
0.125 0.0177724 2.83599 0.00493106 0.786864 0.010587 1.6894 0.019618 3.1305 0.0134707 2.14956
0.15  0.0218613 2.85421 0.00601771 0.78567 0.0129485 1.69055 0.0244431 3.19129 0.0171388 2.23763
0.175 0.0260268 2.87527 0.00710263 0.784653 0.0153322 1.6938 0.0295362 3.26297 0.0212273 2.34505
0.2   0.0302698 2.89814 0.00816799 0.782035 0.0177101 1.69563 0.0349468 3.34594 0.025829 2.47296
0.225 0.0345653 2.92007 0.0092095 0.778016 0.0200625 1.69488 0.0406988 3.43822 0.031038 2.62209
0.25  0.0389308 2.94267 0.0102229 0.772717 0.0224103 1.69393 0.0468363 3.54023 0.0369666 2.7942
0.275 0.0433127 2.96209 0.0111745 0.764205 0.0246963 1.68894 0.0533613 3.64929 0.0437117 2.98937
0.3   0.0476907 2.97788 0.0120771 0.754116 0.0269302 1.68156 0.0602767 3.76377 0.0513845 3.20853
0.325 0.0519974 2.98706 0.0128833 0.740096 0.0290567 1.6692 0.0675159 3.87853 0.0600294 3.44846
0.35  0.0561864 2.98861 0.0135902 0.722876 0.0310493 1.65154 0.075089 3.99406 0.0697961 3.71253
0.375 0.0601481 2.97869 0.0141767 0.702069 0.0328852 1.62856 0.0827815 4.09956 0.0806032 3.99168
0.4   0.0637836 2.95494 0.0145881 0.67583 0.0344811 1.59743 0.0905032 4.1928 0.0924919 4.28493
0.425 0.0669745 2.91472 0.0148411 0.645884 0.0358212 1.55894 0.098012 4.26547 0.105343 4.58451
0.45  0.0695609 2.85429 0.0148889 0.610938 0.0368242 1.51101 0.104989 4.308 0.118909 4.8792
0.475 0.0714216 2.77223 0.0147044 0.570751 0.037441 1.45327 0.111176 4.31531 0.13294 5.16007
0.5   0.0723732 2.66511 0.0143071 0.526852 0.0376376 1.38599 0.116054 4.27362 0.146832 5.40703
0.525 0.0723126 2.53298 0.0136652 0.478666 0.037345 1.30813 0.119345 4.18043 0.160104 5.60816
0.55  0.071039 2.37263 0.0128123 0.427917 0.0365244 1.21988 0.120473 4.02368 0.171816 5.73847
0.575 0.068582 2.18877 0.0117431 0.374775 0.035177 1.12266 0.119228 3.80512 0.181215 5.78341
0.6   0.0648371 1.9812 0.010502 0.320905 0.0332727 1.0167 0.115509 3.52956 0.182697 5.5826
0.625 0.0606537 1.77772 0.00914058 0.267904 0.0308508 0.904216 0.109397 3.20636 0.178865 5.24241
0.65  0.0557147 1.56892 0.00771715 0.217314 0.0264903 0.745966 0.100703 2.83579 0.169368 4.7694
0.675 0.0498466 1.35071 0.0056926 0.154254 0.0218343 0.591651 0.0897439 2.43182 0.154428 4.18458
0.7   0.0432589 1.12957 0.00394843 0.103101 0.0172685 0.450913 0.0771661 2.01496 0.13587 3.54782
0.725 0.0355208 0.894973 0.00258547 0.0651427 0.0130616 0.329096 0.0656184 1.6533 0.114328 2.88058
0.75  0.0256381 0.624074 0.00158273 0.0385263 0.00894143 0.217649 0.0534851 1.30191 0.0913282 2.22308
0.775 0.0173447 0.408356 0.000907275 0.0213605 0.00497799 0.1172 0.0409014 0.962964 0.0714665 1.68257
0.8   0.0103742 0.236492 0.000504939 0.0115107 0.00252111 0.0574715 0.0257826 0.587744 0.052865 1.20512
0.825 0.00456963 0.100965 0.000257759 0.00569511 0.00115953 0.0256194 0.0147762 0.326477 0.0320287 0.707665
0.85  0.00175042 0.0375206 0.000118596 0.00254212 0.000505845 0.0108429 0.00575172 0.123289 0.0163429 0.350314
0.875 0.000621187 0.0129293 0.000104733 0.0021799 0.000192228 0.00400101 0.00177611 0.0369678 0.00511349 0.106432
0.9   0.000184857 0.00373921 0.000103823 0.00210009 0.000141324 0.00285864 0.000495737 0.0100275 0.00124405 0.0251641
0.925 0.000167053 0.0032865 0.000111584 0.00219523 0.000139892 0.00275215 0.000189309 0.00372435 0.000248715 0.00489306
0.95  0.000180672 0.00345965 0.000143303 0.00274408 0.000170853 0.00327163 0.00018672 0.00357546 0.000208968 0.00400147
0.975 0.000262966 0.00490469 0.000196933 0.00367308 0.000242042 0.00451442 0.000272039 0.00507391 0.000279997 0.00522233
1     0.000448916 0.00816094 0.000302017 0.00549043 0.000392141 0.00712881 0.000486858 0.00885068 0.00052265 0.00950136
