zmax  I2T12w2m4r95 I3T12w2m4r95 I2T12w3m4r95 I3T12w3m4r95 I2T12w4m4r95 I3T12w4m4r95 I2T12w5m4r95 I3T12w5m4r95 I2T12w6m4r95 I3T12w6m4r95 I2T12w7m4r95 I3T12w7m4r95 I2T12w8m4r95 I3T12w8m4r95
0.025 0.00138021 1.9822 0.00128684 1.8481 0.0011871 1.70487 0.00108063 1.55195 0.000966114 1.38749 0.000844487 1.21282 0.000720477 1.03472
0.05  0.00416878 1.99567 0.00388644 1.86051 0.00358496 1.71619 0.00326307 1.56209 0.00291701 1.39643 0.00254948 1.22048 0.00217482 1.04113
0.075 0.0070746 2.03205 0.00659431 1.89409 0.00608169 1.74685 0.00553438 1.58965 0.0049464 1.42076 0.00432205 1.24143 0.00368581 1.05868
0.1   0.0101432 2.08104 0.00945229 1.93928 0.00871505 1.78803 0.00792833 1.62662 0.00708358 1.4533 0.00618707 1.26937 0.00527403 1.08205
0.125 0.0134707 2.14956 0.0125489 2.00247 0.011566 1.84562 0.0105177 1.67834 0.00939268 1.49882 0.00819969 1.30845 0.00698559 1.11471
0.15  0.0171388 2.23763 0.0159602 2.08376 0.014704 1.91975 0.0133653 1.74497 0.0119299 1.55757 0.0104083 1.35891 0.0088613 1.15693
0.175 0.0212273 2.34505 0.0197599 2.18294 0.0181965 2.01024 0.0165316 1.8263 0.0147477 1.62923 0.0128582 1.42049 0.0109389 1.20846
0.2   0.025829 2.47296 0.0240339 2.3011 0.0221223 2.11807 0.0200877 1.92327 0.0179089 1.71467 0.0156034 1.49392 0.0132635 1.2699
0.225 0.031038 2.62209 0.028871 2.43902 0.0265637 2.2441 0.0241088 2.0367 0.0214813 1.81474 0.0187027 1.58 0.0158851 1.34197
0.25  0.0369666 2.7942 0.0343767 2.59843 0.0316188 2.38998 0.0286844 2.16818 0.0255447 1.93085 0.0222258 1.67999 0.0188622 1.42574
0.275 0.0437117 2.98937 0.0406448 2.77963 0.0373771 2.55616 0.0338986 2.31827 0.0301757 2.06367 0.0262409 1.79457 0.0222541 1.52192
0.3   0.0513845 3.20853 0.0477849 2.98377 0.0439441 2.74394 0.0398511 2.48836 0.0354665 2.21459 0.0308303 1.92509 0.026132 1.63173
0.325 0.0600294 3.44846 0.0558471 3.20821 0.0513738 2.95123 0.0465972 2.67683 0.0414717 2.38239 0.0360453 2.07067 0.0305429 1.75457
0.35  0.0697961 3.71253 0.0649859 3.45666 0.059822 3.18199 0.0542899 2.88773 0.0483374 2.57111 0.0420211 2.23514 0.0356072 1.89398
0.375 0.0806032 3.99168 0.0751464 3.72145 0.0692562 3.42975 0.0629164 3.11579 0.0560652 2.7765 0.0487703 2.41524 0.0413444 2.04748
0.4   0.0924919 4.28493 0.0863961 4.00253 0.0797659 3.69536 0.0725809 3.3625 0.0647688 3.00058 0.0564082 2.61326 0.0478651 2.21748
0.425 0.105343 4.58451 0.0986656 4.29392 0.091324 3.97441 0.0832926 3.62489 0.0744852 3.24159 0.0649915 2.82843 0.0552381 2.40396
