zmax  I2tau81 I3tau81 I2tau80 I3tau80 I2tau79 I3tau79 I2tau82 I3tau82 I2tau57 I3tau57 I2tau58 I3tau58 I2tau59 I3tau59 I2tau60 I3tau60 I2tau61 I3tau61
0.025 0.00182446 2.62021 0.000479875 0.689175 0.00192126 2.75923 0.0122215 17.552 0.000721027 1.03551 0.000360459 0.517676 0.000727813 1.04525 0.0138975 19.959 0.000780768 1.1213
0.05  0.00547723 2.62206 0.00144063 0.689657 0.00576818 2.76134 0.0366985 17.5682 0.00216783 1.03778 0.00108371 0.518794 0.00218812 1.04749 0.0418045 20.0126 0.00234798 1.12402
0.075 0.00915703 2.63018 0.0024082 0.69171 0.00964082 2.76915 0.0614186 17.6413 0.00361507 1.03836 0.00180723 0.519093 0.00364909 1.04813 0.0697194 20.0256 0.00391617 1.12485
0.1   0.0128675 2.63996 0.00338348 0.694173 0.0135433 2.77861 0.0864202 17.7304 0.00506703 1.03958 0.00253309 0.519702 0.00511493 1.04941 0.0977416 20.0532 0.00549045 1.12645
0.125 0.016635 2.6545 0.00437331 0.697863 0.0175021 2.79286 0.111918 17.8591 0.00652983 1.04198 0.0032644 0.52091 0.0065919 1.05189 0.125981 20.1031 0.0070774 1.12936
0.15  0.02046 2.67125 0.00537752 0.702087 0.0215148 2.80897 0.137958 18.0117 0.00799115 1.04332 0.00399504 0.521591 0.00806783 1.05333 0.154159 20.127 0.00866271 1.131
0.175 0.024355 2.69058 0.00639954 0.70698 0.0255967 2.82776 0.164624 18.1867 0.00946705 1.04586 0.00473299 0.522871 0.00955864 1.05598 0.182594 20.1718 0.0102635 1.13385
0.2   0.0283207 2.71153 0.00743937 0.712273 0.0297456 2.84796 0.191957 18.3787 0.0109432 1.04774 0.00547114 0.523828 0.0110501 1.05798 0.210911 20.1934 0.0118615 1.13567
0.225 0.0323329 2.73148 0.00849068 0.717291 0.0339354 2.86686 0.219807 18.5693 0.012407 1.04814 0.0062033 0.524053 0.0125296 1.05849 0.238804 20.1741 0.0134406 1.13546
0.25  0.0364076 2.75195 0.00955787 0.722452 0.0381847 2.88628 0.248261 18.7654 0.0138711 1.04848 0.00693568 0.524249 0.0140095 1.05894 0.266426 20.1384 0.0150109 1.13463
0.275 0.0404935 2.76929 0.0106276 0.726801 0.0424378 2.90226 0.276976 18.9419 0.0153025 1.04651 0.00765197 0.523306 0.0154568 1.05707 0.292963 20.0352 0.0165306 1.1305
0.3   0.044571 2.78308 0.011695 0.730257 0.0466772 2.9146 0.305764 19.0924 0.0167046 1.04306 0.00835381 0.521625 0.0168746 1.05368 0.318375 19.8798 0.0179986 1.12386
0.325 0.0485763 2.79053 0.012744 0.732094 0.050837 2.9204 0.334126 19.1943 0.0180463 1.0367 0.00902585 0.518501 0.0182316 1.04734 0.34181 19.6357 0.0193723 1.11286
0.35  0.0524637 2.7906 0.0137632 0.732077 0.0548711 2.91865 0.36168 19.2381 0.0193102 1.02713 0.00965937 0.513791 0.0195099 1.03775 0.362733 19.2941 0.0206245 1.09703
0.375 0.0561311 2.77976 0.0147266 0.729302 0.0586801 2.90599 0.387562 19.1931 0.02048 1.01423 0.0102462 0.507421 0.0206925 1.02475 0.38066 18.8513 0.0217301 1.07613
0.4   0.0594834 2.75573 0.0156105 0.723198 0.0621663 2.88002 0.410997 19.0405 0.021508 0.996417 0.0107629 0.498618 0.0217316 1.00677 0.394334 18.2686 0.0226249 1.04816
0.425 0.0624088 2.71602 0.0163868 0.713154 0.0652217 2.83844 0.431022 18.758 0.0223791 0.973935 0.0112015 0.487489 0.0226109 0.984025 0.403407 17.5562 0.0232874 1.01347
0.45  0.0647566 2.65716 0.0170174 0.698275 0.0676954 2.77775 0.446413 18.3177 0.0230442 0.945573 0.0115379 0.473434 0.023281 0.955289 0.406761 16.6906 0.0236569 0.970715
0.475 0.066412 2.57778 0.0174736 0.678239 0.0694748 2.69667 0.456189 17.707 0.0234726 0.911089 0.0117566 0.456333 0.0237103 0.920316 0.403739 15.6712 0.0236955 0.91974
0.5   0.0672049 2.47479 0.0177117 0.652225 0.0703915 2.59213 0.45904 16.9039 0.0236368 0.870415 0.0118438 0.436142 0.0238706 0.879025 0.394128 14.5136 0.0233815 0.861012
0.525 0.0670374 2.3482 0.0177071 0.620248 0.0703468 2.46412 0.454201 15.9099 0.0234973 0.823069 0.0117798 0.412625 0.0237222 0.830945 0.377327 13.2171 0.0226763 0.794311
0.55  0.0657266 2.1952 0.0174114 0.581525 0.0691527 2.30963 0.440459 14.7109 0.0230212 0.768884 0.0115477 0.385683 0.0232312 0.775898 0.353601 11.8099 0.0215741 0.720552
0.575 0.0633025 2.02027 0.0168316 0.537175 0.0668382 2.13312 0.418195 13.3465 0.0222146 0.708969 0.0111509 0.355876 0.0224046 0.715034 0.323492 10.3241 0.0200977 0.641411
0.6   0.0596749 1.82346 0.0159415 0.487117 0.0632992 1.9342 0.3871 11.8284 0.0210537 0.643328 0.0105768 0.323191 0.0212186 0.648366 0.28784 8.79539 0.0182695 0.558252
0.625 0.0556354 1.63063 0.0150287 0.440482 0.0592647 1.73701 0.335654 9.8378 0.0196116 0.574804 0.0098945 0.290001 0.0197586 0.579111 0.240722 7.0554 0.0160326 0.469905
0.65  0.0508992 1.43332 0.013966 0.393282 0.054474 1.53398 0.27569 7.7634 0.0179 0.504063 0.00908886 0.255942 0.0180304 0.507735 0.190912 5.37607 0.0135849 0.382551
0.675 0.0453191 1.22803 0.0126694 0.343308 0.0487877 1.32202 0.215927 5.85104 0.0159359 0.431819 0.00815251 0.220911 0.0160475 0.434844 0.144216 3.90786 0.0110863 0.300409
0.7   0.0391009 1.021 0.0111783 0.291887 0.0424023 1.10721 0.160076 4.17989 0.013782 0.359874 0.00711294 0.185733 0.0138735 0.362263 0.103042 2.69062 0.00866218 0.226186
0.725 0.0318864 0.803401 0.00938166 0.236378 0.0348167 0.877231 0.109445 2.75754 0.0112391 0.283176 0.00586784 0.147845 0.0113134 0.285049 0.068467 1.72508 0.00631392 0.159084
0.75  0.0228308 0.555738 0.00701414 0.170736 0.0249383 0.607038 0.0640417 1.55888 0.00788407 0.191911 0.00419323 0.10207 0.00794925 0.193498 0.0401558 0.977459 0.00396429 0.0964973
0.775 0.0153245 0.360794 0.00494459 0.116413 0.016725 0.393765 0.0340866 0.802519 0.00517791 0.121906 0.00281335 0.0662364 0.00523044 0.123143 0.0216475 0.509659 0.0023 0.0541502
0.8   0.00911385 0.20776 0.00308186 0.0702544 0.00992029 0.226144 0.0163298 0.372255 0.00301868 0.0688144 0.00167274 0.0381319 0.00305465 0.0696342 0.0107487 0.245029 0.00118843 0.0270917
0.825 0.00401116 0.0886255 0.00138345 0.0305668 0.00435721 0.0962713 0.00691114 0.1527 0.00132283 0.0292276 0.000734564 0.01623 0.00133934 0.0295923 0.00504482 0.111464 0.000489177 0.0108082
0.85  0.00154174 0.0330475 0.00054061 0.0115881 0.00166449 0.0356786 0.00254941 0.0546471 0.000505862 0.0108432 0.000281371 0.00603124 0.00051245 0.0109845 0.00209759 0.0449623 0.000174515 0.00374076
0.875 0.000549581 0.0114389 0.000180253 0.00375175 0.000600182 0.0124921 0.00136904 0.0284949 0.000206931 0.00430703 0.000111527 0.00232131 0.000208695 0.00434375 0.0014146 0.0294432 9.98699e-05 0.00207868
0.9   0.000164124 0.00331983 4.90765e-05 0.000992699 0.000182552 0.00369257 0.000721314 0.0145904 7.46652e-05 0.00151029 3.8544e-05 0.000779651 7.48409e-05 0.00151385 0.000991575 0.0200571 5.77402e-05 0.00116794
0.925 0.000148688 0.00292519 4.19703e-05 0.000825698 0.000166693 0.00327942 0.000801316 0.0157646 7.44887e-05 0.00146544 3.79115e-05 0.000745847 7.48782e-05 0.00147311 0.00116304 0.0228809 6.65699e-05 0.00130966
0.95  0.000161092 0.0030847 4.34614e-05 0.000832232 0.000181627 0.00347794 0.00100935 0.0193278 8.72445e-05 0.00167062 4.38852e-05 0.000840347 8.77708e-05 0.0016807 0.00151153 0.0289439 8.6371e-05 0.0016539
0.975 0.000234798 0.00437931 6.37224e-05 0.00118851 0.000263613 0.00491675 0.00147261 0.0274661 0.000127853 0.00238464 6.38127e-05 0.00119019 0.000127343 0.00237511 0.00221274 0.0412707 0.000126792 0.00236485
1     0.000402741 0.00732151 0.000106547 0.00193694 0.000450458 0.00818897 0.00252636 0.0459272 0.000216599 0.0039376 0.000109214 0.00198542 0.000218011 0.00396327 0.0037899 0.0688973 0.000214949 0.00390759
