zmax  I2T10m4r95 I3T10m4r95 I2T10m2r95 I3T10m2r95 I2T10m3r95 I3T10m3r95 I2T10m5r95 I3T10m5r95 I2T10m6r95 I3T10m6r95 I2T10m7r95 I3T10m7r95 I2T10m8r95 I3T10m8r95
0.025 0.0019488 2.79878 0.00253111 3.63507 0.00217347 3.12145 0.00180118 2.58678 0.00169809 2.43872 0.00162244 2.33008 0.00156454 2.24692
0.05  0.00585055 2.80077 0.00756388 3.62097 0.006528 3.12508 0.00540539 2.58766 0.0050949 2.43903 0.0048672 2.33002 0.00469304 2.24664
0.075 0.00978169 2.80961 0.0124745 3.58307 0.0109041 3.132 0.00903793 2.59598 0.00851875 2.44685 0.00813807 2.33751 0.00784684 2.25386
0.1   0.013746 2.82021 0.0171913 3.52706 0.0152987 3.13877 0.0126999 2.60557 0.0119683 2.45548 0.0114319 2.34543 0.0110218 2.26128
0.125 0.0177724 2.83599 0.021656 3.45571 0.0197227 3.14721 0.0164211 2.62036 0.0154723 2.46895 0.0147764 2.35792 0.0142445 2.27304
0.15  0.0218613 2.85421 0.0257538 3.36241 0.024143 3.1521 0.0202103 2.63866 0.0190408 2.48596 0.0181819 2.37383 0.0175254 2.28811
0.175 0.0260268 2.87527 0.0294652 3.25513 0.0285553 3.15461 0.0240833 2.66057 0.0226877 2.50639 0.02166 2.39286 0.0208743 2.30606
0.2   0.0302698 2.89814 0.0326859 3.12947 0.0329157 3.15148 0.0280556 2.68615 0.0264321 2.53071 0.0252301 2.41562 0.0243102 2.32755
0.225 0.0345653 2.92007 0.0353316 2.98481 0.037154 3.13876 0.0321213 2.7136 0.0302736 2.55751 0.0288936 2.44093 0.027835 2.3515
0.25  0.0389308 2.94267 0.0374117 2.82784 0.0412569 3.11849 0.0363118 2.74471 0.0342472 2.58865 0.0326843 2.47051 0.0314806 2.37953
0.275 0.0433127 2.96209 0.0388166 2.65461 0.0451096 3.08497 0.0406082 2.77713 0.0383479 2.62255 0.0366028 2.50321 0.0352497 2.41067
0.3   0.0476907 2.97788 0.0395789 2.47137 0.0486609 3.03846 0.0450172 2.81095 0.0425949 2.65969 0.0406723 2.53964 0.0391659 2.44558
0.325 0.0519974 2.98706 0.0396493 2.27771 0.0517998 2.97571 0.0495105 2.84419 0.0469793 2.69879 0.0448919 2.57887 0.0432309 2.48345
0.35  0.0561864 2.98861 0.0390591 2.07759 0.0544398 2.89571 0.0540914 2.87718 0.0515336 2.74112 0.0493077 2.62272 0.0474967 2.52639
0.375 0.0601481 2.97869 0.0380667 1.88516 0.05649 2.79753 0.0586809 2.90603 0.0562034 2.78334 0.0538788 2.66822 0.0519284 2.57163
0.4   0.0637836 2.95494 0.0368281 1.70616 0.0578285 2.67906 0.0632407 2.92979 0.0609957 2.82579 0.058638 2.71656 0.0565719 2.62084
0.425 0.0669745 2.91472 0.0351183 1.52834 0.0583969 2.54143 0.0676851 2.94565 0.0658653 2.86645 0.0635676 2.76645 0.0614249 2.6732
