zmax  I2T10m4r90 I3T10m4r90 I2T10m4r95 I3T10m4r95 I2T10m4r98 I3T10m4r98 I2T10m4r80 I3T10m4r80 I2T10m4r70 I3T10m4r70 I2T10m4r55 I3T10m4r55
0.025 0.00182446 2.62021 0.0019488 2.79878 0.00202485 2.908 0.00158454 2.27565 0.00135554 1.94676 0.00103078 1.48036
0.05  0.00547723 2.62206 0.00585055 2.80077 0.0060789 2.91009 0.00475693 2.27723 0.00406936 1.94808 0.00309434 1.48132
0.075 0.00915703 2.63018 0.00978169 2.80961 0.0101639 2.91938 0.00795192 2.28404 0.00680184 1.9537 0.00517135 1.48537
0.1   0.0128675 2.63996 0.013746 2.82021 0.0142836 2.9305 0.0111728 2.29227 0.00955586 1.96053 0.00726413 1.49035
0.125 0.016635 2.6545 0.0177724 2.83599 0.0184684 2.94705 0.0144418 2.30452 0.0123499 1.97071 0.00938614 1.49777
0.15  0.02046 2.67125 0.0218613 2.85421 0.0227191 2.9662 0.0177584 2.31854 0.015183 1.98229 0.0115359 1.50612
0.175 0.024355 2.69058 0.0260268 2.87527 0.0270503 2.98835 0.0211335 2.33469 0.018064 1.99559 0.0137201 1.51571
0.2   0.0283207 2.71153 0.0302698 2.89814 0.0314635 3.01243 0.0245666 2.3521 0.0209922 2.00987 0.0159374 1.52591
0.225 0.0323329 2.73148 0.0345653 2.92007 0.035933 3.03562 0.028036 2.36847 0.0239478 2.02311 0.018172 1.53517
0.25  0.0364076 2.75195 0.0389308 2.94267 0.0404774 3.05957 0.0315545 2.38512 0.0269417 2.03645 0.0204316 1.54437
0.275 0.0404935 2.76929 0.0433127 2.96209 0.0450415 3.08032 0.0350763 2.39881 0.0299331 2.04708 0.022684 1.55132
0.3   0.044571 2.78308 0.0476907 2.97788 0.049605 3.09741 0.0385826 2.40916 0.0329052 2.05465 0.0249153 1.55575
0.325 0.0485763 2.79053 0.0519974 2.98706 0.0540981 3.10774 0.042018 2.41378 0.0358098 2.05714 0.0270886 1.55614
0.35  0.0524637 2.7906 0.0561864 2.98861 0.0584743 3.11031 0.0453385 2.4116 0.0386067 2.05353 0.0291705 1.55161
0.375 0.0561311 2.77976 0.0601481 2.97869 0.0626195 3.10109 0.0484564 2.39969 0.0412217 2.04141 0.0311058 1.54044
0.4   0.0594834 2.75573 0.0637836 2.95494 0.0664327 3.07767 0.0512855 2.37594 0.0435784 2.01889 0.0328337 1.52111
0.425 0.0624088 2.71602 0.0669745 2.91472 0.0697915 3.03732 0.0537276 2.33822 0.0455923 1.98417 0.0342896 1.49228
0.45  0.0647566 2.65716 0.0695609 2.85429 0.0725304 2.97614 0.0556512 2.28354 0.0471509 1.93474 0.0353894 1.45213
0.475 0.066412 2.57778 0.0714216 2.77223 0.0745252 2.8927 0.0569547 2.2107 0.0481663 1.86958 0.0360651 1.39987
0.5   0.0672049 2.47479 0.0723732 2.66511 0.0755842 2.78335 0.0574938 2.11718 0.0485191 1.78669 0.0362312 1.3342
0.525 0.0670374 2.3482 0.0723126 2.53298 0.0756014 2.64818 0.0571833 2.00303 0.0481371 1.68616 0.035834 1.2552
0.55  0.0657266 2.1952 0.071039 2.37263 0.074366 2.48375 0.0558733 1.86611 0.0468999 1.56641 0.034791 1.16198
0.575 0.0633025 2.02027 0.068582 2.18877 0.0719069 2.29488 0.0535967 1.71052 0.0448424 1.43113 0.0331357 1.05751
0.6   0.0596749 1.82346 0.0648371 1.9812 0.0681113 2.08125 0.0502885 1.53664 0.0419193 1.28091 0.0308441 0.942488
0.625 0.0556354 1.63063 0.0606537 1.77772 0.0638656 1.87186 0.0466327 1.36677 0.0387142 1.13469 0.0283578 0.831148
0.65  0.0508992 1.43332 0.0557147 1.56892 0.0588333 1.65674 0.0424033 1.19408 0.035049 0.986978 0.0255545 0.719614
0.675 0.0453191 1.22803 0.0498466 1.35071 0.0528247 1.43141 0.0374959 1.01604 0.0308495 0.835939 0.022389 0.606682
0.7   0.0391009 1.021 0.0432589 1.12957 0.0460528 1.20253 0.0321041 0.8383 0.0262885 0.686444 0.0189952 0.496003
0.725 0.0318864 0.803401 0.0355208 0.894973 0.038038 0.958394 0.0259721 0.654385 0.0211751 0.533523 0.0152466 0.38415
0.75  0.0228308 0.555738 0.0256381 0.624074 0.0276716 0.673572 0.0184511 0.44913 0.0149905 0.364892 0.0107681 0.262114
0.775 0.0153245 0.360794 0.0173447 0.408356 0.0188994 0.444958 0.0123135 0.289903 0.00998659 0.23512 0.00716983 0.168803
0.8   0.00911385 0.20776 0.0103742 0.236492 0.0114175 0.260276 0.00730771 0.166588 0.00592907 0.13516 0.00426215 0.0971605
0.825 0.00401116 0.0886255 0.00456963 0.100965 0.0050629 0.111863 0.00322429 0.0712398 0.00262226 0.0579381 0.00189007 0.0417605
0.85  0.00154174 0.0330475 0.00175042 0.0375206 0.0019388 0.0415585 0.00124511 0.0266892 0.00101557 0.0217689 0.000733955 0.0157324
0.875 0.000549581 0.0114389 0.000621187 0.0129293 0.000684859 0.0142546 0.000445788 0.00927857 0.000364464 0.0075859 0.000263959 0.00549401
0.9   0.000164124 0.00331983 0.000184857 0.00373921 0.000202858 0.00410332 0.000133557 0.00270154 0.000109371 0.00221232 7.93499e-05 0.00160506
0.925 0.000148688 0.00292519 0.000167053 0.0032865 0.000182708 0.00359447 0.000121282 0.00238602 9.94557e-05 0.00195663 7.22253e-05 0.00142092
0.95  0.000161092 0.0030847 0.000180672 0.00345965 0.000197155 0.00377528 0.000131629 0.00252052 0.000108041 0.00206884 7.85412e-05 0.00150397
0.975 0.000234798 0.00437931 0.000262966 0.00490469 0.000286345 0.00534072 0.000192107 0.00358306 0.000157798 0.00294315 0.000114806 0.00214129
1     0.000402741 0.00732151 0.000448916 0.00816094 0.000486155 0.00883791 0.000331874 0.00603321 0.000274845 0.00499647 0.000202346 0.00367849
