zmax  drT12w8m4r98 frT12w8m4r98 drT12w7m4r98 frT12w7m4r98 drT11w4m4r100 frT11w4m4r100
0.025 0.798378 0.808861 0.791994 0.801808 0.36621 0.37002
0.05  2.44162 2.43437 2.41927 2.41275 1.08755 1.07902
0.075 4.09843 4.0498 4.06089 4.01329 1.82553 1.73617
0.1   5.74327 5.66549 5.69113 5.61365 2.59862 2.42344
0.125 7.4601 7.27638 7.38813 7.2079 3.24095 3.17208
0.15  8.86305 8.88016 8.77645 8.79459 3.98382 3.77519
0.175 10.7319 10.4839 10.6232 10.3784 4.61676 4.45457
0.2   12.135 12.0596 12.0033 11.9314 5.29813 4.97315
0.225 13.9226 13.6264 13.767 13.4728 5.99727 5.68494
0.25  15.2814 15.1861 15.0947 15.0026 6.59638 6.36185
0.275 16.7593 16.6804 16.5359 16.4603 7.25441 6.91582
0.3   18.5776 18.2011 18.3056 17.9376 8.00214 7.50539
0.325 19.7891 19.6104 19.4683 19.2947 8.47415 7.99623
0.35  21.3075 21.0471 20.9169 20.6679 8.87363 8.49048
0.375 22.2865 22.3554 21.8331 21.9023 9.34709 8.90981
0.4   23.7032 23.6503 23.1506 23.1053 9.69401 9.05974
0.425 25.1004 24.8322 24.435 24.1802 9.93137 9.40904
0.45  26.0941 25.9262 25.307 25.1493 10.162 9.60487
0.475 27.1517 26.9289 26.2089 26.0032 10.2351 9.73312
0.5   28.0523 27.7773 26.9412 26.6836 10.2401 9.71771
0.525 28.7326 28.5191 27.4287 27.2318 10.1082 9.48188
0.55  29.3611 29.1286 27.8323 27.6224 9.89495 9.28515
0.575 29.5509 29.5386 27.8057 27.795 9.53447 9.05168
0.6   29.8425 29.7873 27.8269 27.7802 9.17375 8.59357
0.625 30.1755 29.8702 27.8453 27.5792 8.63873 8.07687
0.65  29.9028 29.7348 27.2899 27.1467 7.89417 7.41167
0.675 29.5123 29.4271 26.6048 26.5295 7.10534 6.6579
0.7   29.0987 28.9028 25.8265 25.6631 6.2676 5.85468
0.725 28.4249 28.189 24.4711 24.282 5.43991 5.08294
0.75  27.2774 27.0953 22.8583 22.7169 4.67766 4.37552
0.775 25.7545 25.6199 21.0956 20.99 4.11775 3.8438
0.8   24.1642 23.9922 19.2877 19.1622 3.55311 3.32154
0.825 22.2935 22.2233 17.3211 17.2601 3.06582 2.86667
0.85  20.4259 20.3496 15.0902 15.032 2.91482 2.72635
0.875 18.489 18.3984 12.8932 12.8324 2.76034 2.58364
0.9   16.1701 16.0985 10.7972 10.7497 2.86745 2.68485
0.925 13.9229 13.8576 9.08989 9.04828 3.13338 2.93482
0.95  11.7657 11.7259 7.79108 7.76025 3.65746 3.42659
0.975 9.97481 9.93361 6.56783 6.53952 4.50235 4.21898
1     8.6391 8.60356 6.01909 5.99283 5.88349 5.51452
